makeId,id,label
28,666,Sprinter
28,727,Transporter
28,466,Vaneo
28,260,Viano
28,668,Vito
29,1365,eHS
29,1362,HS
29,1386,Marvel R
29,1551,MG3 Hybrid+
29,1443,MG4
29,1406,MG5
29,253,MGF
29,254,TF
29,433,ZR
29,434,ZS
29,1366,ZS EV
29,1596,ZS Hybrid+
29,435,ZT
29,482,ZT-T
1428,1570,I
1433,1588,Microlino
222,1556,AcEMAN
222,1167,CLUBMAN
222,1527,COOPER
222,971,Countryman
222,449,MINI
222,1052,Paceman
30,829,300 GT
30,224,3000 GT
30,965,ASX
30,673,Canter
30,280,Carisma
30,173,Colt
30,281,Eclipse
30,1242,Eclipse Cross
30,111,Galant
30,563,Grandis
30,997,i-MiEV
30,658,L200
30,518,Lancer
30,72,Montero
30,388,Montero iO
30,383,Montero Sport
30,509,Outlander
30,206,Space Gear
30,201,Space Runner
30,376,Space Star
30,174,Space Wagon
149,605,+4
149,421,4/4
149,498,Aero 8
149,730,Plus 4
149,422,Plus 8
149,534,Roadster
149,533,V6
1419,1501,Spartan
1417,1474,Orca
31,228,100 NX
31,157,200 SX
31,169,300 ZX
31,521,350Z
31,942,370Z
31,303,Almera
31,415,Almera Tino
31,1425,Ariya
31,828,Bluebird
31,692,Cabstar
31,691,Cabstar E
31,779,CAMION
31,959,CUBE
31,1188,e-NV200 EVALIA
31,1018,EVALIA
31,941,GT-R
31,696,Interstar
31,976,JUKE
31,1008,LEAF
31,751,Maxima
31,110,Maxima QX
31,34,Micra
31,567,Murano
31,685,Navara
31,588,NOTE
31,1175,NP300 Navara
31,906,NP300 Pick Up
31,949,NV200
31,1187,NV200 EVALIA
31,1213,NV300
31,396,Pathfinder
31,107,Patrol
31,219,Patrol GR
31,684,Pick-up
31,938,Pixo
31,827,Prairie
31,699,Primastar
31,99,Primera
31,1129,PULSAR
31,606,QASHQAI
31,915,QASHQAI+2
31,106,Serena
31,35,Sunny
31,25,Terrano
31,24,Terrano II
31,632,Tiida
31,1391,Townstar
31,644,Trade
31,643,Vanette
31,665,Vanette Cargo
31,455,X-TRAIL
1420,1507,5
1420,1572,5 EV
1420,1543,E5
32,1051,Adam
32,392,Agila
32,1026,Ampera
32,596,Antara
32,826,Ascona
32,67,Astra
32,1514,Astra Electric
32,1399,Astra PHEV
32,1075,Cabrio
32,69,Calibra
32,659,Combo
32,1537,Combo Electric
32,1253,Combo Life
32,1377,Combo-e Life
32,77,Corsa
32,1503,Corsa Electric
32,1289,Corsa-e
32,1337,Crossland
32,1219,Crossland X
32,170,Frontera
32,1563,Frontera Electric
32,1379,Grandland
32,1398,Grandland PHEV
32,1228,Grandland X
32,1292,Grandland X PHEV
32,615,GT
32,1163,GTC
32,918,Insignia
32,775,Kadett
32,1160,Karl
32,825,Manta
32,506,Meriva
32,1036,Mokka
32,1198,Mokka X
32,1333,Mokka-e
32,222,Monterey
32,822,Monza
32,686,Movano
32,151,Omega
32,824,Rekord
32,823,Senator
32,499,Signum
32,292,Sintra
32,448,Speedster
32,188,Tigra
32,68,Vectra
32,695,Vivaro
32,385,Zafira
32,1531,Zafira Electric
32,1281,Zafira Life
32,1012,Zafira Tourer
32,1339,Zafira-e Life
33,554,1007
33,81,106
33,558,107
33,1135,108
33,1077,2008
33,82,205
33,380,206
33,1094,206 +
33,487,206 SW
33,587,207
33,1095,207 +
33,1021,208
33,934,3008
33,1316,3008 Hybrid
33,1554,3008 Plug-in Hybrid
33,42,306
33,293,307
33,484,307 SW
33,447,308
33,821,309
33,621,4007
33,1039,4008
33,155,405
33,156,406
33,279,407
33,488,407 SW
33,1441,408
33,950,5008
33,1490,5008 Hybrid
33,1560,5008 Plug-in Hybrid
33,820,505
33,982,508
33,1315,508 Hybrid
33,819,604
33,43,605
33,420,607
33,185,806
33,200,807
33,881,Bipper
33,662,Boxer
33,1303,e-2008
33,1291,e-208
33,1523,E-3008
33,1489,E-308
33,1559,E-5008
33,1450,e-Rifter
33,1347,e-Traveller
33,990,ion
33,778,J5
33,681,Partner
33,893,Partner Origin
33,968,RCZ
33,1252,Rifter
33,1201,Traveller
87,660,Porter
87,721,Quargo
1402,1420,2
1402,1437,3
1402,1516,4
112,241,Firebird
112,242,TRANS AM
112,226,Trans Sport
34,1177,718
34,73,911
34,996,918
34,818,924
34,753,928
34,817,944
34,754,968
34,290,Boxster
34,510,Carrera GT
34,503,Cayenne
34,1277,Cayenne Coupé
34,573,Cayman
34,1097,Macan
34,936,Panamera
34,1297,Taycan
1348,1072,3
1348,1073,3 Estate
1372,1520,RAM 1500
35,729,19
35,1552,5
35,1579,5 E-Tech
35,811,Alpine
35,1363,Arkana
35,1442,Austral
35,464,Avantime
35,1069,Captur
35,90,Clio
35,478,Clio Campus
35,1074,Clio III
35,153,Espace
35,634,Express
35,956,Fluence
35,812,Fuego
35,306,Grand Espace
35,1025,Grand Kangoo Combi
35,875,Grand Modus
35,477,Grand Scénic
35,1153,Kadjar
35,674,Kangoo
35,876,Kangoo Combi
35,1533,Kangoo Combi E-Tech
35,898,Koleos
35,54,Laguna
35,987,Latitude
35,677,Mascott
35,649,Master
35,700,Master Propulsión
35,720,Maxity
35,17,Mégane
35,1395,Megane E-Tech
35,543,Modus
35,149,Nevada
35,814,R11
35,813,R18
35,764,R21
35,759,R25
35,773,R4
35,763,R5
35,816,R6
35,815,R9
35,1540,Rafale
35,18,Safrane
35,270,Scénic
35,1529,Scenic E-Tech
35,261,Spider
35,1557,Symbioz
35,1165,Talisman
35,648,Trafic
35,122,Twingo
35,1532,Twingo E-Tech
35,1080,Twizy
35,469,Vel Satis
35,975,Wind
35,1071,Zoe
36,329,Corniche
36,264,Park Ward
36,493,Phantom
36,311,Silver Seraph
36,263,Silver Spur
36,733,Silvier
36,262,Siver Dawn
36,732,Touring
36,1067,Wraith
37,52,100
37,116,200
37,255,25
37,213,400
37,214,45
37,50,600
37,324,75
37,15,800
37,221,Cabriolet
37,117,Coupe
37,271,Mini
37,810,SD
37,513,Streetwise
38,3,900
38,5,9000
38,4,9-3
38,940,9-3X
38,1004,9-4X
38,212,9-5
1328,576,300
1328,577,350
1328,697,Anibal
1328,711,Anibal Pick Up
39,341,Alhambra
39,525,ALTEA
39,624,Altea Freetrack
39,600,Altea XL
39,1231,Arona
39,349,Arosa
39,1182,Ateca
39,94,Córdoba
39,923,Exeo
39,2,Ibiza
39,669,Inca
39,410,León
39,808,Malaga
39,225,Marbella
39,1011,Mii
39,809,Ronda
39,1264,Tarraco
39,650,Terra
39,98,Toledo
1422,1524,Seres 3
1422,1541,Seres 5
40,806,130
40,1034,Citigo
40,1341,Enyaq
40,1435,Enyaq Coupe
40,411,Fabia
40,805,Favorit
40,9,Felicia
40,108,Forman
40,1296,Kamiq
40,1230,Karoq
40,1212,Kodiaq
40,350,Octavia
40,351,Octavia Tour
40,657,Pickup
40,1053,Rapid
40,604,Roomster
40,807,S
40,1278,Scala
40,610,Scout
40,1093,Spaceback
40,457,Superb
40,943,Yeti
1425,1549,BE11
41,1446,#1
41,1525,#3
41,327,cabrio
41,317,city-coupé
41,467,crossblade
41,524,forfour
41,318,fortwo
41,472,roadster
41,316,smart
42,601,Actyon
42,719,Actyon Sports Pick Up
42,22,Family
42,23,K4D
42,740,Kodando
42,21,Korando
42,274,Korando KJ
42,572,Kyron
42,136,Musso
42,470,Rexton
42,528,Rexton II
42,569,Rodius
42,708,Sports Pick Up
42,1141,Tivoli
42,1373,Tivoli Grand
42,1513,Torres
42,1193,XLV
43,804,1800
43,593,B9 Tribeca
43,1049,BRZ
43,1528,crosstrek
43,310,Forester
43,523,G3X Justy
43,63,Impreza
43,158,Justy
43,62,Legacy
43,1170,LEVORG
43,308,Outback
43,1481,Solterra
43,64,SVX
43,1001,Trezia
43,884,Tribeca
43,981,WRX STI
43,803,XT
43,1022,XV
44,1338,Across
44,252,Alto
44,142,Baleno
44,1142,Celerio
44,320,Grand Vitara
44,465,Grand Vitara XL-7
44,332,Ignis
44,319,Jimny
44,978,Kizashi
44,458,Liana
44,10,Maruti
44,168,Samurai
44,1060,SCross
44,892,Splash
44,1349,Swace
44,44,Swift
44,589,SX4
44,1087,SX4 S-Cross
44,133,Vitara
44,304,Wagon R+
1411,1418,G01
1411,1419,G01F
156,802,Horizon
156,774,Samba
156,801,Solara
156,800,Tagora
45,1045,Aria
45,585,Grand Safari
45,468,INDICA
45,538,INDIGO
45,325,Safari
45,315,Sumo
45,147,Telco
45,146,Telcosport
45,676,TL Pick Up
45,1032,Vista
45,1035,Xenon
45,874,Xenon Pick Up
1354,1262,Model 3
1354,1171,Model S
1354,1172,Model X
1354,1328,Model Y
46,53,4Runner
46,273,Auris
46,305,Avensis
46,432,Avensis Verso
46,555,Aygo
46,1396,Aygo X Cross
46,1478,BZ4X
46,120,Camry
46,12,Carina E
46,134,Celica
46,1211,C-HR
46,272,Corolla
46,1511,Corolla Cross
46,492,Corolla Sedán
46,481,Corolla Verso
46,718,Dyna
46,1352,GR Supra
46,1340,GR Yaris
46,1464,GR86
46,1037,GT86
46,1351,Highlander
46,599,Hilux
46,935,iQ
46,256,Land Cruiser
46,249,Land Cruiser 100
46,877,Land Cruiser 200
46,248,Land Cruiser 80
46,257,Land Cruiser 90
46,1295,Mirai
46,328,MR2
46,247,Paseo
46,321,Picnic
46,330,Previa
46,331,Prius
46,1096,Prius+
46,1312,Proace City
46,1313,Proace City Verso
46,1216,Proace Verso
46,131,Rav4
46,150,Supra
46,937,Urban Cruiser
46,931,Verso
46,322,Yaris
46,1367,Yaris Cross
46,326,Yaris Verso
1324,28,100
1324,29,121
1325,379,110 Stawra
1325,390,111 Stawra
1325,450,112 Stawra
1325,166,214
1325,391,215
47,979,Amarok
47,1220,Arteon
47,1005,Beetle
47,398,Bora
47,545,Caddy
47,724,California
47,609,Caravelle
47,1020,CC
47,152,Corrado
47,682,Crafter
47,591,Eos
47,1304,e-up!
47,570,Fox
47,89,Golf
47,568,Golf Plus
47,1120,Golf Sportsvan
47,1311,Grand California
47,1428,ID. BUZZ
47,1325,ID.3
47,1334,ID.4
47,1388,ID.5
47,1510,ID.7
47,399,Jetta
47,652,LT
47,361,Lupo
47,522,Multivan
47,405,New Beetle
47,83,Passat
47,895,Passat CC
47,460,Phaeton
47,109,Polo
47,752,Santana
47,799,Scirocco
47,346,Sharan
47,1384,Taigo
47,656,Taro
47,1265,T-Cross
47,628,Tiguan
47,1240,Tiguan Allspace
47,461,Touareg
47,462,Touran
47,636,Transporter
47,1232,T-Roc
47,1009,up!
47,95,Vento
47,1065,XL1
48,796,240
48,798,340
