modelId,type,text,brandId
QlA3TCtaNXFabVl5TnR3L0xadUlwQT09,model,MAZDA Mazda3,TWlnOC85bDUwdFBlYkF0aTNxL0dmUT09
YzV3NHdyRGlBNE9yUE9MR1VMVk54c0FlWXlkTDhpMkNqak90QVF5VVFpST0=,model,FIAT Dobló,RjBRWVpEeWkyK1NXSU9TdDRUejZrUT09
THp1TGlYQmdzelZkOUNMTE5zdWRLdz09,model,FIAT Ducato,RjBRWVpEeWkyK1NXSU9TdDRUejZrUT09
K1pBZzVLS2lmdit6cXl6UVJvK2NCUlRQZCtVcU91MndvVnJXdC9ZWHBvQT0=,model,MERCEDES Clase GLE,RTE4d1UyZ2tuM1J5NEpnN2h2TWNRQT09
MHdMR3QxWnNqclNzWUhCaFdCZ0NVUT09,model,MERCEDES EQA,RTE4d1UyZ2tuM1J5NEpnN2h2TWNRQT09
b0R2bERXTVZQWXhYM09JUm5SdW5EQT09,model,RENAULT Kadjar,cGxsWUkzNnRsczVjWmJ0clVNa3J3UT09
Njh0OFdNL2VxQzRiQjg5QXp6bjFLQT09,model,VOLVO XC90,ZWE0VEgvV0hBM3RoWmc2bEE4ME4vQT09
bXJsOFFTalJQVzFMU2xOZ0t5cENFZjUrbTFPNjlkdlpoTmZ0ZXY4clhnaz0=,model,MERCEDES Clase GLB,RTE4d1UyZ2tuM1J5NEpnN2h2TWNRQT09
cWZFNG5pVk5ZQnlmVUlJWXRWWkkxUT09,model,FIAT 500X,RjBRWVpEeWkyK1NXSU9TdDRUejZrUT09
UXRnTXBobk1yVFBLeEVvb0VSdmwwQT09,model,OPEL Vivaro,M1ZldjBpN2NXUW1JbzJIWVVYV0lPZz09
VkdKM3k5enFsQUNCbkZCUEVJaFdHUT09,model,FORD Transit,WjFqUXZyWFN3TDVZSzdHeGZjaFllZz09
ZGdRb2ErdXpxWkNXTWVCWVUyZEEvUT09,model,HYUNDAI Ioniq,MHQ2ckFFSHQ0T09lcTFsQkNVQXNQZz09
dzVOMWIrKzJ1ell0UlBkbXRhK1hDTGkxS0Y2RHFaR1R1VmRLeDhkWXl1Yz0=,model,FORD Transit Custom,WjFqUXZyWFN3TDVZSzdHeGZjaFllZz09
SUdvOEYrZUQ2QmRlN1N4V3BhOStHUT09,model,TOYOTA RAV-4,cHE3cjZlTXZ0a2I1a0FtT08wK2Q1UT09
Z25HWmdlRWJMNDVlc3pMcGZXV1BzUDBWcXNENWY0a0ErUVhYNmhBaXZncz0=,model,LAND ROVER Range Rover Velar,SEZTaHlSQlEzOGF3YlJQU3RteHJydz09
ZlFzdjhwWkVCcWhVaUZ2dHFzYk5aQT09,model,MERCEDES Clase V,RTE4d1UyZ2tuM1J5NEpnN2h2TWNRQT09
UDJkR2toc25FL2w3anZrRncxQVE0QT09,model,VOLKSWAGEN Crafter,Rmt1aVBPQ2tlZTh3UWo1Wlh4WDhodz09
MmN2UVpkMWN3MkF3MTlIRlBudmFVdz09,model,MAZDA CX-3,TWlnOC85bDUwdFBlYkF0aTNxL0dmUT09
YjJJN29ra3Fqdld0NHJRTGtwUytBaFA5N2s3dm5SaEY5MEVDWXVjOWJlaz0=,model,LAND ROVER Discovery Sport,SEZTaHlSQlEzOGF3YlJQU3RteHJydz09
MnpienlEd29rNFUrR2g5a1AzMGVTTFJzY2V2RXBQVnJ0SWZiYUJSUFFJMD0=,model,VOLKSWAGEN Transporter,Rmt1aVBPQ2tlZTh3UWo1Wlh4WDhodz09
TzdVNEYvWUIzbzhQaCtSaCsrMW50dz09,model,IVECO Daily,aWtsVjV4aEpRM3B6UXZucDJJNE5Edz09
VzRmVmR3REw1d0JyODZVL2tLWU5xdz09,model,MERCEDES EQB,RTE4d1UyZ2tuM1J5NEpnN2h2TWNRQT09
dS95R3NKcHc1OHIwM05QUk5ublp2dz09,model,VOLKSWAGEN Touran,Rmt1aVBPQ2tlZTh3UWo1Wlh4WDhodz09
a2N3di9vbjdTZllpT29RQTZKR09EUT09,model,SKODA Scala,M3pIdHI5TTY0Um1vbWpmdGdRRU5zZz09
QjVzbE1wUStkdW96dk1NUzJWZnFjZz09,model,SUZUKI Vitara,OWgzb0QzSVlobVlxZTk4MzhxTkN1UT09
SW5OeFFTdTZmemJtQzI0V3A3YjNFZz09,model,FIAT Talento,RjBRWVpEeWkyK1NXSU9TdDRUejZrUT09
eld0K2lMYlVlVmpxRU9DdjJudURXZz09,model,TOYOTA Auris,cHE3cjZlTXZ0a2I1a0FtT08wK2Q1UT09
WTMwTUFNdllWZEllVU5Ma1Z0amkxZz09,model,JEEP Avenger,TXR1T3o1YWxudGxRTFNTVlRrQ1J4QT09
YlZNWE5GMEczOGZ3dkk2MnZicFRUUT09,model,BMW X4,Rm00dmdvZUYxZy9MbGhsWlJhKzllQT09
ZUIyUnJDdG1DWWdwVXhFeXpMcEV2Zz09,model,FORD Mondeo,WjFqUXZyWFN3TDVZSzdHeGZjaFllZz09
aTE0QkUydlNYbllldW1ERDlYNk45QT09,model,RENAULT Arkana,cGxsWUkzNnRsczVjWmJ0clVNa3J3UT09
M3hOM0Q5MXJwRzZ6aGZTbWtjOG83Zz09,model,HYUNDAI i10,MHQ2ckFFSHQ0T09lcTFsQkNVQXNQZz09
eU5GUTlZMWllOTFia0dOUTFzejA0a2hHYmJUbXF0bmc4Q2s4azBPblZaQT0=,model,FORD Tourneo Courier,WjFqUXZyWFN3TDVZSzdHeGZjaFllZz09
V25IMi8zVC9tWmRsbWJxMnZkTE9EQT09,model,HYUNDAI Bayon,MHQ2ckFFSHQ0T09lcTFsQkNVQXNQZz09
Y3lPS3M2VnZGaDBEeFo2ak9xMzFsQT09,model,JAGUAR F-Pace,MWRySXFSMFlOaFp6a0hzM2czaVRJUT09
RHFLbzhMZWxXdkF1NVRnZHJrUHhQdz09,model,VOLKSWAGEN Touareg,Rmt1aVBPQ2tlZTh3UWo1Wlh4WDhodz09
OEJKVXNsRmNpOGV2NjRRSG9ISzlTQT09,model,VOLKSWAGEN Multivan,Rmt1aVBPQ2tlZTh3UWo1Wlh4WDhodz09
Vm5ObUlobElGempiTGE1Q1Q4M1JWUT09,model,MITSUBISHI ASX,Q1o0OURsamJXQ2tYRlZLK3g2ME5uUT09
YzlPbnNacVpDaWgvK0lBTE9GRGNKR2s0RzFyV0ZkYVZEVTRqTVE2a0x5UT0=,model,DS DS3 Crossback,NEJNZExaUXN0N0RUT0RUUVBpV0llZz09
bkRtUUF5T2t3RVJqMXdIN0VaL1BDQT09,model,FORD C-Max,WjFqUXZyWFN3TDVZSzdHeGZjaFllZz09
dS8vd0V4aGNsWWp5ZFl0N1FaaUs5UT09,model,KIA Rio,Q3JoYldqOVVWKzFnU0RTZzB3OWhQQT09
dDFSVDI4SWhHVUpJMDd5Rk84L0VXUT09,model,RENAULT Master,cGxsWUkzNnRsczVjWmJ0clVNa3J3UT09
b1M4d2cxVzZXY3ZxL1UzbVYxdXk5UT09,model,TOYOTA Aygo,cHE3cjZlTXZ0a2I1a0FtT08wK2Q1UT09
d0RmbW5ZU3JHUEczTVdURUZvaWRNUT09,model,MAZDA Mazda2,TWlnOC85bDUwdFBlYkF0aTNxL0dmUT09
QytHSUNTYVpSOTZzQjF4dysxSVR1UT09,model,DACIA Dokker,WkxJTjR3eVFyMEw0NE1NdlVpdm1Rdz09
SkF3RE0wN3Q3Y1ZCZHdFVWpQemJkVE9YNXJja1J4UGtBUXJpYmg3d2dUbz0=,model,FORD Transit Courier,WjFqUXZyWFN3TDVZSzdHeGZjaFllZz09
YnRGSTZtc2FLRklPM3cvMnpXc1BVZz09,model,SEAT Tarraco,UXMza1hTZVMxMjRENWVFNzJvVEsvQT09
dlN5L21ERmxEVGU3anY1TFBXR05Udz09,model,PORSCHE Cayenne,SG8xLzJTcFQxNUE5anZpTHdlN2tsdz09
NnZrQkpaM3FkN0pLd1FEeDVlSkJlUT09,model,CITROEN C5 X,WmtTNmd6dm5FSjRoYmgzT0FvZExtUT09
